id,level,word,article,plural,translation,example,partOfSpeech,topic,tags,lessonId
A1_v070,A1,Abend,der,die Abende,evening,der Abend: evening,noun,Time,a1,A1_lesson_6
A1_v071,A1,Nacht,die,die Nacht,night,die Nacht: night,noun,Time,a1,A1_lesson_7
A1_v072,A1,sein,,,to be,sein: to be,other,Verbs A1,a1,A1_lesson_15
A1_v073,A1,haben,,,to have,haben: to have,other,Verbs A1,a1,A1_lesson_1
A1_v074,A1,werden,,,to become,werden: to become,other,Verbs A1,a1,A1_lesson_8
A1_v075,A1,konnen,,,can,konnen: can,other,Verbs A1,a1,A1_lesson_23
A1_v076,A1,mussen,,,must,mussen: must,other,Verbs A1,a1,A1_lesson_15
A1_v077,A1,wollen,,,to want,wollen: to want,other,Verbs A1,a1,A1_lesson_1
A1_v078,A1,gehen,,,to go,gehen: to go,other,Verbs A1,a1,A1_lesson_8
A1_v079,A1,kommen,,,to come,kommen: to come,other,Verbs A1,a1,A1_lesson_23
A1_v080,A1,sprechen,,,to speak,sprechen: to speak,other,Verbs A1,a1,A1_lesson_15
A1_v081,A1,lesen,,,to read,lesen: to read,other,Verbs A1,a1,A1_lesson_1
A1_vocab_501,A1,Arzt,der,die Ärzte,doctor,Der Arzt hat heute Nachmittag Sprechstunde.,noun,Medical,a1;medical,A1_lesson_16
A1_vocab_502,A1,Krankenhaus,das,die Krankenhäuser,hospital,Das Krankenhaus ist ganz in der Nahe.,noun,Medical,a1;medical,A1_lesson_16
A1_vocab_503,A1,Apotheke,die,die Apotheken,pharmacy,Die Apotheke hat bis 18 Uhr geoffnet.,noun,Medical,a1;medical,A1_lesson_16
A1_vocab_504,A1,Termin,der,die Termine,appointment,Ich habe morgen einen Termin beim Arzt.,noun,Medical,a1;medical,A1_lesson_16
A1_vocab_505,A1,Schmerzen,die,Schmerzen,pain,die Schmerzen ist ein wichtiger Begriff.,noun,Medical,a1;medical,A1_lesson_16
A1_vocab_506,A1,Arbeit,die,die Arbeiten,work,die Arbeit ist ein wichtiger Begriff.,noun,Daily Life,a1,A1_lesson_15
A1_vocab_507,A1,Frühstück,das,,breakfast,das Frühstück ist ein wichtiger Begriff.,noun,Food,a1,A1_lesson_4
A1_vocab_508,A1,Bahnhof,der,die Bahnhöfe,train station,der Bahnhof ist ein wichtiger Begriff.,noun,Travel,a1,A1_lesson_21
A1_vocab_509,A1,Bushaltestelle,die,die Bushaltestellen,bus stop,die Bushaltestelle ist ein wichtiger Begriff.,noun,Travel,a1,A1_lesson_5
A1_vocab_510,A1,Wetter,das,Wetter,weather,das Wetter ist ein wichtiger Begriff.,noun,Nature,a1,A1_lesson_11
A1_vocab_511,A1,Familie,die,die Familien,family,die Familie ist ein wichtiger Begriff.,noun,People,a1,A1_lesson_3
A1_vocab_512,A1,Freund,der,die Freunde,friend,der Freund ist ein wichtiger Begriff.,noun,People,a1,A1_lesson_13
A1_vocab_513,A1,Schule,die,die Schulen,school,die Schule ist ein wichtiger Begriff.,noun,Education,a1,A1_lesson_25
A1_vocab_514,A1,Buch,das,die Bücher,book,das Buch ist ein wichtiger Begriff.,noun,Education,a1,A1_lesson_25
A1_vocab_515,A1,Zeit,die,die Zeiten,time,die Zeit ist ein wichtiger Begriff.,noun,General,a1,A1_lesson_1
A1_vocab_516,A1,Tag,der,die Tage,day,der Tag ist ein wichtiger Begriff.,noun,General,a1,A1_lesson_19
A1_vocab_517,A1,Woche,die,die Wochen,week,die Woche ist ein wichtiger Begriff.,noun,General,a1,A1_lesson_22
A1_vocab_518,A1,Farbe,die,die Farben,color,die Farbe ist ein wichtiger Begriff.,noun,Descriptions,a1,A1_lesson_12
A1_vocab_519,A1,Stadt,die,die Städte,city,die Stadt ist ein wichtiger Begriff.,noun,Places,a1,A1_lesson_18
A1_vocab_520,A1,Wasser,das,Wasser,water,das Wasser ist ein wichtiger Begriff.,noun,Food,a1,A1_lesson_9
A1_v082,A1,Tschuess,,,bye,Tschuess bis morgen,other,Greetings,a1,A1_lesson_1
A1_v083,A1,Willkommen,,,welcome,Willkommen in Deutschland,other,Greetings,a1,A1_lesson_1
A1_v084,A1,Name,der,die Namen,name,Mein Name ist Anna,noun,Personal Info,a1,A1_lesson_1
A1_v085,A1,Vorname,der,die Vornamen,first name,Was ist Ihr Vorname,noun,Personal Info,a1,A1_lesson_1
A1_v086,A1,Nachname,der,die Nachnamen,last name,Mein Nachname ist Mueller,noun,Personal Info,a1,A1_lesson_1
A1_v087,A1,Alter,das,Alter,age,Mein Alter ist 25,noun,Personal Info,a1,A1_lesson_1
A1_v088,A1,Adresse,die,die Adressen,address,Meine Adresse ist Hauptstrasse 10,noun,Personal Info,a1,A1_lesson_22
A1_v089,A1,Telefonnummer,die,die Telefonnummern,phone number,Meine Telefonnummer ist 0176 1234,noun,Personal Info,a1,A1_lesson_22
A1_v090,A1,Geburtsdatum,das,die Geburtsdaten,date of birth,Mein Geburtsdatum ist der 1 Mai,noun,Personal Info,a1,A1_lesson_1
A1_v091,A1,Geburtstag,der,die Geburtstage,birthday,Wann ist dein Geburtstag,noun,Personal Info,a1,A1_lesson_1
A1_v092,A1,Deutschland,das,,Germany,Deutschland ist in Europa,noun,Countries,a1,A1_lesson_19
A1_v093,A1,Frankreich,das,,France,Frankreich liegt in Europa,noun,Countries,a1,A1_lesson_19
A1_v094,A1,Italien,das,,Italy,Italien hat gutes Essen,noun,Countries,a1,A1_lesson_19
A1_v095,A1,Spanien,das,,Spain,Spanien hat schoene Straende,noun,Countries,a1,A1_lesson_19
A1_v096,A1,Tuerkei,die,,Turkey,Die Tuerkei liegt in Asien,noun,Countries,a1,A1_lesson_19
A1_v097,A1,England,das,,England,England hat viel Regen,noun,Countries,a1,A1_lesson_19
A1_v098,A1,Oesterreich,das,,Austria,Oesterreich liegt suedlich von Deutschland,noun,Countries,a1,A1_lesson_19
A1_v099,A1,Schweiz,die,,Switzerland,Die Schweiz hat Berge,noun,Countries,a1,A1_lesson_19
A1_v100,A1,Deutsch,das,,German,Deutsch ist eine schoene Sprache,noun,Languages,a1,A1_lesson_19
A1_v101,A1,Englisch,das,,English,Englisch ist wichtig,noun,Languages,a1,A1_lesson_19
A1_v102,A1,Franzoesisch,das,,French,Franzoesisch klingt schoen,noun,Languages,a1,A1_lesson_19
A1_v103,A1,Spanisch,das,,Spanish,Spanisch ist in vielen Laendern,noun,Languages,a1,A1_lesson_19
A1_v104,A1,Sprache,die,die Sprachen,language,Welche Sprache sprichst du,noun,Languages,a1,A1_lesson_19
A1_v105,A1,fuenf,,,five,Fuenf Minuten bitte,number,Numbers,a1,A1_lesson_2
A1_v106,A1,zehn,,,ten,Zehn Minuten Pause,number,Numbers,a1,A1_lesson_2
A1_v107,A1,elf,,,eleven,Elf Kinder spielen,number,Numbers,a1,A1_lesson_2
A1_v108,A1,zwoelf,,,twelve,Zwoelf Monate sind ein Jahr,number,Numbers,a1,A1_lesson_2
A1_v109,A1,zwanzig,,,twenty,Zwanzig Euro bitte,number,Numbers,a1,A1_lesson_2
A1_v110,A1,dreissig,,,thirty,Dreissig Minuten warten,number,Numbers,a1,A1_lesson_2
A1_v111,A1,hundert,,,hundred,Hundert Euro ist viel,number,Numbers,a1,A1_lesson_2
A1_v112,A1,Montag,der,die Montage,Monday,Montag ist der erste Tag,noun,Days,a1,A1_lesson_7
A1_v113,A1,Dienstag,der,die Dienstage,Tuesday,Dienstag habe ich Termin,noun,Days,a1,A1_lesson_7
A1_v114,A1,Mittwoch,der,die Mittwoche,Wednesday,Mittwoch ist Mitte der Woche,noun,Days,a1,A1_lesson_7
A1_v115,A1,Donnerstag,der,die Donnerstage,Thursday,Donnerstag habe ich frei,noun,Days,a1,A1_lesson_7
A1_v116,A1,Freitag,der,die Freitage,Friday,Freitag gehe ich einkaufen,noun,Days,a1,A1_lesson_7
A1_v117,A1,Samstag,der,die Samstage,Saturday,Samstag ist Wochenende,noun,Days,a1,A1_lesson_7
A1_v118,A1,Sonntag,der,die Sonntage,Sunday,Sonntag ist Ruhetag,noun,Days,a1,A1_lesson_7
A1_v119,A1,Wochenende,das,die Wochenenden,weekend,Am Wochenende bin ich frei,noun,Days,a1,A1_lesson_7
A1_v120,A1,Monat,der,die Monate,month,Ein Monat hat 30 Tage,noun,Months,a1,A1_lesson_7
A1_v121,A1,Januar,der,,January,Januar ist kalt,noun,Months,a1,A1_lesson_7
A1_v122,A1,Februar,der,,February,Februar hat 28 Tage,noun,Months,a1,A1_lesson_7
A1_v123,A1,Maerz,der,,March,Im Maerz wird es warm,noun,Months,a1,A1_lesson_7
A1_v124,A1,April,der,,April,April ist wechselhaft,noun,Months,a1,A1_lesson_7
A1_v125,A1,Mai,der,,May,Der Mai ist schoen,noun,Months,a1,A1_lesson_7
A1_v126,A1,Juni,der,,June,Der Juni ist warm,noun,Months,a1,A1_lesson_7
A1_v127,A1,Juli,der,,July,Der Juli ist heiss,noun,Months,a1,A1_lesson_7
A1_v128,A1,August,der,,August,Im August habe ich Urlaub,noun,Months,a1,A1_lesson_7
A1_v129,A1,September,der,,September,September ist mild,noun,Months,a1,A1_lesson_7
A1_v130,A1,Oktober,der,,October,Im Oktober ist Herbst,noun,Months,a1,A1_lesson_7
A1_v131,A1,November,der,,November,November ist regnerisch,noun,Months,a1,A1_lesson_7
A1_v132,A1,Dezember,der,,December,Im Dezember ist Weihnachten,noun,Months,a1,A1_lesson_7
A1_v133,A1,Uhr,die,die Uhren,clock,Die Uhr zeigt zehn Uhr,noun,Time,a1,A1_lesson_6
A1_v134,A1,Stunde,die,die Stunden,hour,Eine Stunde hat 60 Minuten,noun,Time,a1,A1_lesson_6
A1_v135,A1,Minute,die,die Minuten,minute,Eine Minute hat 60 Sekunden,noun,Time,a1,A1_lesson_6
A1_v136,A1,spaet,,,late,Der Zug kommt spaet,adverb,Time,a1,A1_lesson_6
A1_v137,A1,frueh,,,early,Wir treffen uns frueh,adverb,Time,a1,A1_lesson_6
A1_v138,A1,Jahr,das,die Jahre,year,Ein Jahr hat 12 Monate,noun,Time,a1,A1_lesson_7
A1_v139,A1,Eltern,die,,parents,Meine Eltern sind zu Hause,noun,Family,a1,A1_lesson_3
A1_v140,A1,Opa,der,die Opas,grandpa,Mein Opa erzaehlt gern,noun,Family,a1,A1_lesson_3
A1_v141,A1,Oma,die,die Omas,grandma,Meine Oma backt Kuchen,noun,Family,a1,A1_lesson_3
A1_v142,A1,Geschwister,die,,siblings,Ich habe zwei Geschwister,noun,Family,a1,A1_lesson_3
A1_v143,A1,Kind,das,die Kinder,child,Das Kind spielt im Garten,noun,Family,a1,A1_lesson_3
A1_v144,A1,Mann,der,die Maenner,man,Der Mann ist mein Vater,noun,Family,a1,A1_lesson_3
A1_v145,A1,Frau,die,die Frauen,woman,Die Frau ist meine Mutter,noun,Family,a1,A1_lesson_3
A1_v146,A1,Aerztin,die,die Aerztinnen,doctor f,Die Aerztin untersucht mich,noun,Jobs,a1,A1_lesson_16
A1_v147,A1,Lehrer,der,die Lehrer,teacher,Der Lehrer erklaert die Regel,noun,Jobs,a1,A1_lesson_19
A1_v148,A1,Lehrerin,die,die Lehrerinnen,teacher f,Die Lehrerin ist nett,noun,Jobs,a1,A1_lesson_19
A1_v149,A1,Student,der,die Studenten,student m,Der Student lernt Medizin,noun,Jobs,a1,A1_lesson_19
A1_v150,A1,Studentin,die,die Studentinnen,student f,Die Studentin lernt viel,noun,Jobs,a1,A1_lesson_19
A1_v151,A1,Beruf,der,die Berufe,profession,Mein Beruf ist Arzt,noun,Jobs,a1,A1_lesson_19
A1_v152,A1,Krankenschwester,die,die Krankenschwestern,nurse,Die Krankenschwester hilft mir,noun,Jobs,a1,A1_lesson_16
A1_v153,A1,Polizist,der,die Polizisten,police officer,Der Polizist regelt den Verkehr,noun,Jobs,a1,A1_lesson_19
A1_v154,A1,Verkaufer,der,die Verkaufer,sales assistant,Der Verkaufer hilft mir,noun,Jobs,a1,A1_lesson_19
A1_v155,A1,Apotheker,der,die Apotheker,pharmacist,Der Apotheker gibt mir Tabletten,noun,Jobs,a1,A1_lesson_18
A1_v156,A1,Haus,das,die Haeuser,house,Das Haus ist gross,noun,Home,a1,A1_lesson_14
A1_v157,A1,Wohnung,die,die Wohnungen,apartment,Meine Wohnung ist im Zentrum,noun,Home,a1,A1_lesson_14
A1_v158,A1,Zimmer,das,die Zimmer,room,Das Zimmer ist hell,noun,Home,a1,A1_lesson_14
A1_v159,A1,Wohnzimmer,das,die Wohnzimmer,living room,Das Wohnzimmer hat ein Sofa,noun,Home,a1,A1_lesson_14
A1_v160,A1,Schlafzimmer,das,die Schlafzimmer,bedroom,Mein Schlafzimmer ist klein,noun,Home,a1,A1_lesson_14
A1_v161,A1,Kueche,die,die Kuechen,kitchen,In der Kueche koche ich,noun,Home,a1,A1_lesson_14
A1_v162,A1,Bad,das,die Baeder,bathroom,Das Bad hat eine Dusche,noun,Home,a1,A1_lesson_14
A1_v163,A1,Balkon,der,die Balkone,balcony,Der Balkon hat Blumen,noun,Home,a1,A1_lesson_14
A1_v164,A1,Garten,der,die Gaerten,garden,Im Garten spielen die Kinder,noun,Home,a1,A1_lesson_14
A1_v165,A1,Tuer,die,die Tueren,door,Die Tuer ist offen,noun,Home,a1,A1_lesson_14
A1_v166,A1,Fenster,das,die Fenster,window,Das Fenster ist zu,noun,Home,a1,A1_lesson_14
A1_v167,A1,Tisch,der,die Tische,table,Der Tisch ist aus Holz,noun,Furniture,a1,A1_lesson_14
A1_v168,A1,Stuhl,der,die Stuehle,chair,Der Stuhl ist bequem,noun,Furniture,a1,A1_lesson_14
A1_v169,A1,Bett,das,die Betten,bed,Mein Bett ist gross,noun,Furniture,a1,A1_lesson_14
A1_v170,A1,Schrank,der,die Schraenke,wardrobe,Im Schrank sind Kleider,noun,Furniture,a1,A1_lesson_14
A1_v171,A1,Sofa,das,die Sofas,sofa,Das Sofa ist bequem,noun,Furniture,a1,A1_lesson_14
A1_v172,A1,Regal,das,die Regale,shelf,Im Regal stehen Buecher,noun,Furniture,a1,A1_lesson_14
A1_v173,A1,Lampe,die,die Lampen,lamp,Die Lampe leuchtet,noun,Furniture,a1,A1_lesson_14
A1_v174,A1,aufstehen,,,to get up,Ich stehe um sieben auf,verb,Daily Routine,a1,A1_lesson_15
A1_v175,A1,duschen,,,to shower,Ich dusche morgens,verb,Daily Routine,a1,A1_lesson_15
A1_v176,A1,fruehstuecken,,,to have breakfast,Wir fruehstuecken um acht,verb,Daily Routine,a1,A1_lesson_15
A1_v177,A1,arbeiten,,,to work,Ich arbeite im Krankenhaus,verb,Daily Routine,a1,A1_lesson_15
A1_v178,A1,Pause,die,die Pausen,break,Die Pause dauert 30 Minuten,noun,Daily Routine,a1,A1_lesson_15
A1_v179,A1,machen,,,to do,Was machst du heute,verb,Daily Routine,a1,A1_lesson_15
A1_v180,A1,sagen,,,to say,Er sagt hallo,verb,Daily Routine,a1,A1_lesson_15
A1_v181,A1,waschen,,,to wash,Ich wasche meine Haende,verb,Daily Routine,a1,A1_lesson_15
A1_v182,A1,anziehen,,,to get dressed,Ich ziehe mich an,verb,Daily Routine,a1,A1_lesson_15
A1_v183,A1,schlafen,,,to sleep,Ich schlafe acht Stunden,verb,Daily Routine,a1,A1_lesson_15
A1_v184,A1,Fleisch,das,,meat,Das Fleisch ist gut,noun,Food,a1,A1_lesson_4
A1_v185,A1,Fisch,der,die Fische,fish,Der Fisch ist frisch,noun,Food,a1,A1_lesson_4
A1_v186,A1,Obst,das,,fruit,Obst ist gesund,noun,Food,a1,A1_lesson_4
A1_v187,A1,Gemuese,das,,vegetables,Gemuese esse ich jeden Tag,noun,Food,a1,A1_lesson_4
A1_v188,A1,Suppe,die,die Suppen,soup,Die Suppe ist heiss,noun,Food,a1,A1_lesson_4
A1_v189,A1,Salat,der,die Salate,salad,Der Salat ist frisch,noun,Food,a1,A1_lesson_4
A1_v190,A1,Wurst,die,die Wuerste,sausage,Die Wurst schmeckt gut,noun,Food,a1,A1_lesson_4
A1_v191,A1,Kartoffel,die,die Kartoffeln,potato,Die Kartoffel ist gekocht,noun,Food,a1,A1_lesson_4
A1_v192,A1,Zucker,der,,sugar,Der Zucker ist suess,noun,Food,a1,A1_lesson_4
A1_v193,A1,Salz,das,,salt,Das Salz ist auf dem Tisch,noun,Food,a1,A1_lesson_4
A1_v194,A1,Schokolade,die,die Schokoladen,chocolate,Die Schokolade ist lecker,noun,Food,a1,A1_lesson_4
A1_v195,A1,Kuchen,der,die Kuchen,cake,Der Kuchen schmeckt gut,noun,Food,a1,A1_lesson_10
A1_v196,A1,Keks,der,die Kekse,cookie,Der Keks ist knusprig,noun,Food,a1,A1_lesson_4
A1_v197,A1,Marmelade,die,die Marmeladen,jam,Die Marmelade ist suess,noun,Food,a1,A1_lesson_4
A1_v198,A1,Kaffee,der,,coffee,Der Kaffee ist heiss,noun,Drink,a1,A1_lesson_4
A1_v199,A1,Tee,der,die Tees,tea,Tee trinke ich am Abend,noun,Drink,a1,A1_lesson_4
A1_v200,A1,Bier,das,die Biere,beer,Das Bier ist kalt,noun,Drink,a1,A1_lesson_4
A1_v201,A1,Wein,der,die Weine,wine,Der Wein ist rot,noun,Drink,a1,A1_lesson_4
A1_v202,A1,Saft,der,die Saefte,juice,Der Saft ist lecker,noun,Drink,a1,A1_lesson_4
A1_v203,A1,Milchkaffee,der,die Milchkaffees,latte,Der Milchkaffee ist warm,noun,Drink,a1,A1_lesson_4
A1_v204,A1,Limonade,die,die Limonaden,lemonade,Die Limonade ist kalt,noun,Drink,a1,A1_lesson_4
A1_v205,A1,Supermarkt,der,die Supermaerkte,supermarket,Der Supermarkt hat offen,noun,Shopping,a1,A1_lesson_9
A1_v206,A1,Markt,der,die Maerkte,market,Der Markt ist am Samstag,noun,Shopping,a1,A1_lesson_9
A1_v207,A1,Geschaeft,das,die Geschaefte,shop,Das Geschaeft ist zu,noun,Shopping,a1,A1_lesson_9
A1_v208,A1,Einkauf,der,die Einkaeufe,shopping,Der Einkauf dauert lange,noun,Shopping,a1,A1_lesson_9
A1_v209,A1,Tasche,die,die Taschen,bag,Die Tasche ist schwer,noun,Shopping,a1,A1_lesson_9
A1_v210,A1,Kasse,die,die Kassen,checkout,An der Kasse warte ich,noun,Shopping,a1,A1_lesson_9
A1_v211,A1,einkaufen,,,to shop,Ich kaufe ein,verb,Shopping,a1,A1_lesson_9
A1_v212,A1,kosten,,,to cost,Was kostet das,verb,Shopping,a1,A1_lesson_9
A1_v213,A1,bezahlen,,,to pay,Ich bezahle mit Karte,verb,Shopping,a1,A1_lesson_9
A1_v214,A1,brauchen,,,to need,Ich brauche Milch,verb,Shopping,a1,A1_lesson_9
A1_v215,A1,kaufen,,,to buy,Ich kaufe Brot,verb,Shopping,a1,A1_lesson_9
A1_v216,A1,Geld,das,,money,Ich habe kein Geld,noun,Money,a1,A1_lesson_9
A1_v217,A1,Preis,der,die Preise,price,Der Preis ist niedrig,noun,Money,a1,A1_lesson_9
A1_v218,A1,Euro,der,die Euro,euro,Das kostet fuenf Euro,noun,Money,a1,A1_lesson_24
A1_v219,A1,Cent,der,die Cent,cent,Es kostet 50 Cent,noun,Money,a1,A1_lesson_24
A1_v220,A1,Rechnung,die,die Rechnungen,bill,Die Rechnung bitte,noun,Money,a1,A1_lesson_10
A1_v221,A1,Quittung,die,die Quittungen,receipt,Die Quittung bitte,noun,Money,a1,A1_lesson_9
A1_v222,A1,billig,,,cheap,Das Hemd ist billig,adj,Shopping,a1,A1_lesson_9
A1_v223,A1,teuer,,,expensive,Das Auto ist teuer,adj,Shopping,a1,A1_lesson_9
A1_v224,A1,Hose,die,die Hosen,pants,Die Hose ist neu,noun,Clothing,a1,A1_lesson_12
A1_v225,A1,Hemd,das,die Hemden,shirt,Das Hemd ist weiss,noun,Clothing,a1,A1_lesson_12
A1_v226,A1,Jacke,die,die Jacken,jacket,Die Jacke ist warm,noun,Clothing,a1,A1_lesson_12
A1_v227,A1,Schuh,der,die Schuhe,shoe,Der Schuh passt gut,noun,Clothing,a1,A1_lesson_12
A1_v228,A1,Kleid,das,die Kleider,dress,Das Kleid ist schoen,noun,Clothing,a1,A1_lesson_12
A1_v229,A1,Rock,der,die Roecke,skirt,Der Rock ist kurz,noun,Clothing,a1,A1_lesson_12
A1_v230,A1,Pullover,der,die Pullover,sweater,Der Pullover ist weich,noun,Clothing,a1,A1_lesson_12
A1_v231,A1,Mantel,der,die Maentel,coat,Der Mantel ist warm,noun,Clothing,a1,A1_lesson_12
A1_v232,A1,Hut,der,die Huete,hat,Der Hut ist gruen,noun,Clothing,a1,A1_lesson_12
A1_v233,A1,Muetze,die,die Muetzen,cap,Die Muetze ist rot,noun,Clothing,a1,A1_lesson_12
A1_v234,A1,Anzug,der,die Anzuege,suit,Der Anzug ist schwarz,noun,Clothing,a1,A1_lesson_12
A1_v235,A1,T-Shirt,das,die T-Shirts,t-shirt,Das T-Shirt ist blau,noun,Clothing,a1,A1_lesson_12
A1_v236,A1,Strumpf,der,die Struempfe,sock,Der Strumpf ist warm,noun,Clothing,a1,A1_lesson_12
A1_v237,A1,Handschuh,der,die Handschuhe,glove,Die Handschuhe sind warm,noun,Clothing,a1,A1_lesson_12
A1_v238,A1,bunt,,,colorful,Das Kleid ist bunt,adj,Colors,a1,A1_lesson_12
