id,level,word,article,plural,translation,example,partOfSpeech,topic,tags,lessonId
,B2,die Einschaltquote,die,die Einschaltquoten,ratings,Die Quote ist hoch.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Redaktion,die,die Redaktionen,editorial team,Die Redaktion arbeitet rund um die Uhr.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Zeitschrift,die,die Zeitschriften,magazine,Die Zeitschrift erscheint monatlich.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Tageszeitung,die,die Tageszeitungen,daily newspaper,Die Zeitung kommt jeden Morgen.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Anzeige,die,die Anzeigen,ad,Die Anzeige stand in der Zeitung.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Ubertragung,die,die Ubertragungen,broadcast,Die Ubertragung beginnt um 20 Uhr.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Kolumne,die,die Kolumnen,column,Die Kolumne erscheint wochentlich.,noun,Media and communication,b2;media,B2_lesson_general
,B2,der Artikel,der,die Artikel,article,Der Artikel wurde veroffentlicht.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Rubrik,die,die Rubriken,section,Die Rubrik erscheint sonntags.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Nachrichtenagentur,die,die Nachrichtenagenturen,news agency,Die Agentur beliefert alle Sender.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Pressefreiheit,die,,press freedom,Die Pressefreiheit ist ein Grundrecht.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Medienlandschaft,die,,media landscape,Die Medienlandschaft verandert sich.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Mietwohnung,die,die Mietwohnungen,rental apartment,Die Mietwohnung hat drei Zimmer.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,der Mietvertrag,der,die Mietvertrage,rental contract,Der Mietvertrag wurde unterschrieben.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Wohnungsbesichtigung,die,die Wohnungsbesichtigungen,apartment viewing,Die Besichtigung ist morgen.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Einbaukuche,die,die Einbaukuchen,fitted kitchen,Die Einbaukuche ist modern.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Heizung,die,die Heizungen,heating,Die Heizung funktioniert gut.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,der Fahrstuhl,der,die Fahrstuhle,elevator,Der Fahrstuhl ist defekt.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Hausordnung,die,die Hausordnungen,house rules,Die Hausordnung hangt im Flur.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,der Hausmeister,der,die Hausmeister,janitor,Der Hausmeister repariert alles.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,der Dachboden,der,die Dachboden,attic,Der Dachboden wird als Lager genutzt.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Mietpreisbremse,die,,rent control,Die Mietpreisbremse gilt hier.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Eigentumswohnung,die,die Eigentumswohnungen,condo,Die Eigentumswohnung wurde gekauft.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Wohnungsnot,die,,housing shortage,Die Wohnungsnot ist ein großes Problem.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Wohnungseinrichtung,die,,furnishing,Die Einrichtung ist modern.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Mietpreisentwicklung,die,,rent development,Die Mietpreisentwicklung zeigt einen Anstieg.,noun,Housing and living,b2;housing,B2_lesson_general
,B2,die Fahrkarte,die,die Fahrkarten,ticket,Die Fahrkarte kostet 50 Euro.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die Verspatung,die,die Verspatungen,delay,Die Verspatung betragt 20 Minuten.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Flugverkehr,der,,air traffic,Der Flugverkehr nimmt zu.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Fernverkehr,der,,long-distance transport,Der Fernverkehr ist teurer.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Anschlusszug,der,die Anschlusszuge,connecting train,Der Anschlusszug wartet nicht.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die Bordkarte,die,die Bordkarten,boarding pass,Die Bordkarte wurde ausgedruckt.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,das Gepack,das,,luggage,Das Gepack wurde aufgegeben.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Koffer,der,die Koffer,suitcase,Der Koffer ist schwer.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Reisepass,der,die Reisepasse,passport,Der Reisepass ist gultig.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,das Visum,das,die Visa,visa,Das Visum wurde beantragt.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die BahnCard,die,die BahnCards,rail discount card,Die BahnCard gibt 25% Rabatt.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Mietwagen,der,die Mietwagen,rental car,Der Mietwagen steht bereit.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die Autobahn,die,die Autobahnen,highway,Die Autobahn ist voll.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die Umleitung,die,die Umleitungen,detour,Die Umleitung ist ausgeschildert.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Stau,der,die Staus,traffic jam,Der Stau ist 10 Kilometer lang.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Bahnsteig,der,die Bahnsteige,platform,Der Zug fahrt ab Bahnsteig 3.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die Abfahrt,die,die Abfahrten,departure,Die Abfahrt ist um 14 Uhr.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die Ankunft,die,die Ankunfte,arrival,Die Ankunft ist verspatet.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Grenzubergang,der,die Grenzubergange,border crossing,Der Grenzubergang ist kontrolliert.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die Parkgebuhr,die,die Parkgebuhrren,parking fee,Die Parkgebuhr betragt 2 Euro.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die Reiserucktrittsversicherung,die,,travel cancellation insurance,Die Versicherung zahlt bei Stornierung.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,die Fahrplanauskunft,die,,timetable info,Die Auskunft ist online.,noun,Travel and transport,b2;travel,B2_lesson_general
,B2,der Brauch,der,die Brauche,custom,Der Brauch wird seit Jahrhunderten gepflegt.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Tradition,die,die Traditionen,tradition,Die Tradition wird weitergegeben.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,der Feiertag,der,die Feiertage,public holiday,Der Feiertag ist gesetzlich.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,das Volksfest,das,die Volksfeste,folk festival,Das Volksfest findet im Mai statt.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Kinderbetreuung,die,,childcare,Die Kinderbetreuung ist kostenlos.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,das Ehrenamt,das,,voluntary work,Das Ehrenamt ist wertvoll.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Emanzipation,die,,emancipation,Die Emanzipation der Frau schreitet voran.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Lebensqualitat,die,,quality of life,Die Lebensqualitat ist gut.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Armut,die,,poverty,Die Armut nimmt zu.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Inklusion,die,,inclusion,Inklusion in Schulen wird gefordert.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Vielfalt,die,,diversity,Vielfalt ist eine Starke.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Zivilcourage,die,,civil courage,Zivilcourage wird belohnt.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,der Wertewandel,der,,value shift,Der Wertewandel betrifft die Gesellschaft.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,das Zusammenleben,das,,coexistence,Das Zusammenleben funktioniert gut.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Bevolkerungsentwicklung,die,,population development,Die Entwicklung zeigt einen Ruckgang.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,der Migrationshintergrund,der,,migration background,Viele haben einen Migrationshintergrund.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Burgergesellschaft,die,,civil society,Die Burgergesellschaft engagiert sich.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Vereinbarkeit,die,,compatibility,Die Vereinbarkeit von Familie und Beruf ist wichtig.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Volkerverstandigung,die,,international understanding,Die Volkerverstandigung fordert den Frieden.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Wohlstandsgesellschaft,die,,affluent society,Die Wohlstandsgesellschaft konsumiert viel.,noun,Culture and society,b2;culture,B2_lesson_general
,B2,die Ernahrungsweise,die,,diet,Die Ernahrungsweise ist ausgewogen.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Lebensmittelindustrie,die,,food industry,Die Lebensmittelindustrie produziert viel.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,der Nahrwert,der,,nutritional value,Der Nahrwert steht auf der Verpackung.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Mahlzeit,die,die Mahlzeiten,meal,Die Mahlzeit ist fertig.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Vorspeise,die,die Vorspeisen,starter,Die Vorspeise war lecker.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Hauptspeise,die,die Hauptspeisen,main course,Die Hauptspeise wird serviert.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Nachspeise,die,die Nachspeisen,dessert,Die Nachspeise ist siiß.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,das Buffet,das,die Buffets,buffet,Das Buffet ist reichhaltig.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Speisekarte,die,die Speisekarten,menu,Die Speisekarte bietet viel Auswahl.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Bedienung,die,,service,Die Bedienung war sehr gut.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,das Trinkgeld,das,die Trinkgelder,tip,Das Trinkgeld ist hier iiblich.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Lebensmittelverschwendung,die,,food waste,Die Lebensmittelverschwendung ist ein Problem.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Frische,die,,freshness,Die Frische der Produkte ist wichtig.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Tiefkihlkost,die,,frozen food,Tiefkiihlkost ist praktisch.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Kiiche,die,die Kiichen,cuisine,Die italienische Kiiche ist beliebt.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Ernahrung,die,,nutrition,Ernahrung beeinflusst die Gesundheit.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Lebensmittelvergiftung,die,,food poisoning,Die Lebensmittelvergiftung war schlimm.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Nahrungserganzung,die,die Nahrungserganzungen,supplement,Nahrungserganzung kann sinnvoll sein.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Kochshow,die,die Kochshows,cooking show,Die Kochshow lauft samstags.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Vorratskammer,die,die Vorratskammern,pantry,Die Vorratskammer ist gut gefullt.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Kuchenmaschine,die,die Kuchenmaschinen,kitchen machine,Die Kuchenmaschine mixt den Teig.,noun,Food and nutrition,b2;food,B2_lesson_general
,B2,die Sportart,die,die Sportarten,type of sport,Meine Sportart ist Schwimmen.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Meisterschaft,die,die Meisterschaften,championship,Die Meisterschaft beginnt im Juni.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Mannschaft,die,die Mannschaften,team,Die Mannschaft hat gewonnen.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,der Trainer,der,die Trainer,coach,Der Trainer motiviert die Spieler.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,das Training,das,,training,Das Training ist anstrengend.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Ausdauer,die,,endurance,Die Ausdauer verbessert sich.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Bewcglichkeit,die,,flexibility,Die Beweglichkeit ist wichtig.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Kraft,die,die Krafte,strength,Die Kraft nimmt zu.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,der Sportverein,der,die Sportvereine,sports club,Der Sportverein hat viele Mitglieder.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,das Stadion,das,die Stadien,stadium,Das Stadion fasst 50.000 Zuschauer.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,der Schiedsrichter,der,die Schiedsrichter,referee,Der Schiedsrichter pfeift das Spiel an.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Weltmeisterschaft,die,die Weltmeisterschaften,world championship,Die Weltmeisterschaft findet alle vier Jahre statt.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Medaille,die,die Medaillen,medal,Die Medaille ist aus Gold.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,der Sportler,der,die Sportler,athlete,Der Sportler trainiert taglich.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,der Freizeitsport,der,,recreational sports,Freizeitsport ist gut fur die Gesundheit.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,das Fitnessstudio,das,die Fitnessstudios,gym,Das Fitnessstudio ist gut ausgestattet.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Korperhaltung,die,,posture,Die Korperhaltung verbessert sich.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Regeneration,die,,recovery,Die Regeneration ist wichtig nach dem Training.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,der Leistungssport,der,,competitive sports,Leistungssport erfordert Disziplin.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Sportstatte,die,die Sportstatten,sports venue,Die Sportstatte ist modern.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Olympischen Spiele,die,,Olympic Games,Die Olympischen Spiele sind ein großes Event.,noun,Sports and fitness,b2;sports,B2_lesson_general
,B2,die Galerie,die,die Galerien,gallery,Die Galerie zeigt moderne Kunst.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,das Theater,das,die Theater,theatre,Das Theater spielt ein neues Stuck.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Oper,die,die Opern,opera,Die Oper war ausverkauft.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,das Konzert,das,die Konzerte,concert,Das Konzert beginnt um 20 Uhr.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,der Film,der,die Filme,film,Der Film lauft seit letzter Woche.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Auffuhrung,die,die Auffuhrungen,performance,Die Auffuhrung war beeindruckend.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Karte,die,die Karten,ticket,Die Karte kostet 25 Euro.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Vorstellung,die,die Vorstellungen,show,Die Vorstellung beginnt um 19.30 Uhr.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,der Kunstler,der,die Kunstler,artist,Der Kunstler malt in Ol.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,das Gemalde,das,die Gemalde,painting,Das Gemalde hangt im Museum.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Skulptur,die,die Skulpturen,sculpture,Die Skulptur steht im Park.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Kultur,die,,culture,Die Kultur ist vielfaltig.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,das Festival,das,die Festivals,festival,Das Festival findet im Sommer statt.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Premiere,die,die Premieren,premiere,Die Premiere war ein großer Erfolg.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,der Regisseur,der,die Regisseure,director,Der Regisseur dreht einen neuen Film.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,der Schauspieler,der,die Schauspieler,actor,Der Schauspieler spielt die Hauptrolle.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Leinwand,die,die Leinwande,screen,Die Leinwand ist riesig.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Auszeichnung,die,die Auszeichnungen,award,Die Auszeichnung wurde verliehen.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,das Publikum,das,,audience,Das Publikum applaudierte.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Inszenierung,die,die Inszenierungen,staging,Die Inszenierung war modern.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,das Buhnenbild,das,,set design,Das Buhnenbild war beeindruckend.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Unterhaltungsbranche,die,,entertainment industry,Die Unterhaltungsbranche wachst.,noun,Art and entertainment,b2;arts,B2_lesson_general
,B2,die Personlichkeit,die,die Personlichkeiten,personality,Die Personlichkeit entwickelt sich.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Selbstwahrnehmung,die,,self-perception,Die Selbstwahrnehmung ist wichtig.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,das Selbstbewusstsein,das,,self-confidence,Das Selbstbewusstsein starkt.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,das Ziel,das,die Ziele,goal,Das Ziel ist erreicht.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,der Erfolg,der,die Erfolge,success,Der Erfolg stellt sich ein.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,das Scheitern,das,,failure,Das Scheitern gehort zum Leben.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Belastbarkeit,die,,resilience,Die Belastbarkeit ist gefragt.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,der Stress,der,,stress,Stress ist gesundheitsschadlich.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Entspannung,die,,relaxation,Entspannung ist wichtig.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Achtsamkeit,die,,mindfulness,Achtsamkeit hilft beim Umgang mit Stress.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Gewohnheit,die,die Gewohnheiten,habit,Die Gewohnheit abzulegen ist schwer.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Fahigkeit,die,die Fahigkeiten,ability,Die Fahigkeit wird trainiert.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Emotion,die,die Emotionen,emotion,Emotionen zu verstehen ist wichtig.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Empathie,die,,empathy,Empathie ist eine wichtige Eigenschaft.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Dankbarkeit,die,,gratitude,Dankbarkeit fordert das Wohlbefinden.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Work-Life-Balance,die,,work-life balance,Die Work-Life-Balance ist wichtig.,noun,Psychology and personal growth,b2;psychology,B2_lesson_general
,B2,die Politik,die,,politics,Die Politik beschäftigt sich mit aktuellen Themen.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,der Wähler,der,die Wähler,voter,Die Wähler gehen zur Wahl.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,der Kanzler,der,die Kanzler,chancellor,Der Kanzler regiert das Land.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,die Opposition,die,,opposition,Die Opposition kritisiert die Regierung.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,das Gesetz,das,die Gesetze,law,Das Gesetz wurde verabschiedet.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,der Haushalt,der,die Haushalte,budget,Der Haushalt wurde verabschiedet.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,das Ministerium,das,die Ministerien,ministry,Das Ministerium arbeitet an dem Gesetz.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,der Minister,der,die Minister,minister,Der Minister gibt eine Pressekonferenz.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,die Abgeordnete,der,die Abgeordneten,member of parliament,Die Abgeordnete stimmt für das Gesetz.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,der Bundestag,der,,federal parliament,Der Bundestag tagt in Berlin.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,der Bundesrat,der,,federal council,Der Bundesrat stimmt über das Gesetz ab.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,die Koalition,die,die Koalitionen,coalition,Die Koalition hat eine Mehrheit.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,die Außenpolitik,die,,foreign policy,Die Außenpolitik ist auf Dialog ausgerichtet.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,die Innenpolitik,die,,domestic policy,Die Innenpolitik befasst sich mit sozialen Fragen.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,die Bürgerbeteiligung,die,,citizen participation,Die Bürgerbeteiligung wird gefördert.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,das Wahlrecht,das,,voting rights,Das Wahlrecht ist ein Grundrecht.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,die Staatsbürgerschaft,die,,citizenship,Die Staatsbürgerschaft wird beantragt.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,die Menschenrechte,die,,human rights,Die Menschenrechte sind unveräußerlich.,noun,Politics and government,b2;politics,B2_lesson_general
,B2,die Marketingstrategie,die,die Marketingstrategien,marketing strategy,Die Marketingstrategie zielt auf junge Leute.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,der Markenname,der,die Markennamen,brand name,Der Markenname ist geschützt.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,der Slogan,der,die Slogans,slogan,Der Slogan ist einprägsam.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Öffentlichkeitsarbeit,die,,public relations,Öffentlichkeitsarbeit ist wichtig für das Image.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Verkaufsförderung,die,,sales promotion,Die Verkaufsförderung steigert den Absatz.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,die Marktforschung,die,,market research,Die Marktforschung untersucht Kundenwünsche.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
,B2,der Wettbewerber,der,die Wettbewerber,competitor,Der Wettbewerber hat ein neues Produkt.,noun,Marketing and advertising,b2;marketing,B2_lesson_general
